MDL Disneyland? Paris Major,1838315,Ayse Elvan ''L1'' Aydemir ,9-12th
EPICENTER Major,1838315,Ayse Elvan ''L1'' Aydemir ,4th
The International 2019,1838315,Ayse Elvan ''L1'' Aydemir ,7-8th
The International 2019,36,Bakyt ''Zayac'' Emilzhanov ,13-16th
EPICENTER XL,mineski,Chai ''Mushi'' Yee Fung,5-6th
MDL Changsha Major,mineski,Chai ''Mushi'' Yee Fung,5-6th
ESL One Birmingham 2018,mineski,Chai ''Mushi'' Yee Fung,5-6th
China Dota2 Supermajor,mineski,Chai ''Mushi'' Yee Fung,9-12th
The International 2018,mineski,Chai ''Mushi'' Yee Fung,9-12th
DreamLeague Season 11,2626685,Chen ''TheOne'' Peng ,5-6th
MDL Disneyland? Paris Major,2626685,Chen ''TheOne'' Peng ,9-12th
The International 2019,2626685,Chen ''TheOne'' Peng ,13-16th
The International 2019,7439348,Cheng ''vtFαded'' Jia Hao ,17-18th
MDL Changsha Major,2672298,Christian ''Xtian'' Roque ,11-12th
China Dota2 Supermajor,2672298,Christian ''Xtian'' Roque ,13-16th
EPICENTER Major,2672298,Christian ''Xtian'' Roque ,13-16th
The International 2019,2672298,Christian ''Xtian'' Roque ,7-8th
EPICENTER XL,1838315,Clement ''Puppey'' Ivanov ,7-8th
MDL Changsha Major,1838315,Clement ''Puppey'' Ivanov ,5-6th
China Dota2 Supermajor,1838315,Clement ''Puppey'' Ivanov ,4th
The International 2018,1838315,Clement ''Puppey'' Ivanov ,5-6th
The Kuala Lumpur Major,1838315,Clement ''Puppey'' Ivanov ,2nd
The Chongqing Major,1838315,Clement ''Puppey'' Ivanov ,1st
DreamLeague Season 11,1838315,Clement ''Puppey'' Ivanov ,4th
MDL Disneyland? Paris Major,1838315,Clement ''Puppey'' Ivanov ,1st
EPICENTER Major,1838315,Clement ''Puppey'' Ivanov ,9-12th
The International 2019,1838315,Clement ''Puppey'' Ivanov ,4th
The International 2019,5110520,Danika ''Danimals'' Teo ,17-18th
EPICENTER XL,mineski,Daryl Koh ''iceiceice'' Pei Xiang ,5-6th
MDL Changsha Major,mineski,Daryl Koh ''iceiceice'' Pei Xiang ,5-6th
ESL One Birmingham 2018,mineski,Daryl Koh ''iceiceice'' Pei Xiang ,5-6th
China Dota2 Supermajor,mineski,Daryl Koh ''iceiceice'' Pei Xiang ,9-12th
The International 2018,mineski,Daryl Koh ''iceiceice'' Pei Xiang ,9-12th
The Kuala Lumpur Major,350190,Daryl Koh ''iceiceice'' Pei Xiang ,7-8th
The Chongqing Major,350190,Daryl Koh ''iceiceice'' Pei Xiang ,5-6th
DreamLeague Season 11,350190,Daryl Koh ''iceiceice'' Pei Xiang ,3rd
MDL Disneyland? Paris Major,350190,Daryl Koh ''iceiceice'' Pei Xiang ,13-16th
EPICENTER Major,350190,Daryl Koh ''iceiceice'' Pei Xiang ,13-16th
The International 2019,350190,Daryl Koh ''iceiceice'' Pei Xiang ,13-16th
The Kuala Lumpur Major,726228,Ding ''Dy'' Cong,7-8th
The Chongqing Major,726228,Ding ''Dy'' Cong,7-8th
DreamLeague Season 11,726228,Ding ''Dy'' Cong,1st
MDL Disneyland? Paris Major,726228,Ding ''Dy'' Cong,7-8th
EPICENTER Major,726228,Ding ''Dy'' Cong,1st
The International 2019,726228,Ding ''Dy'' Cong,5-6th
EPICENTER XL,mineski,Djardel ''DJ'' Mampusti ,5-6th
MDL Changsha Major,mineski,Djardel ''DJ'' Mampusti ,5-6th
ESL One Birmingham 2018,mineski,Djardel ''DJ'' Mampusti ,5-6th
China Dota2 Supermajor,mineski,Djardel ''DJ'' Mampusti ,9-12th
The International 2018,mineski,Djardel ''DJ'' Mampusti ,9-12th
The Kuala Lumpur Major,350190,Djardel ''DJ'' Mampusti ,7-8th
The Chongqing Major,350190,Djardel ''DJ'' Mampusti ,5-6th
DreamLeague Season 11,350190,Djardel ''DJ'' Mampusti ,3rd
MDL Disneyland? Paris Major,350190,Djardel ''DJ'' Mampusti ,13-16th
EPICENTER Major,350190,Djardel ''DJ'' Mampusti ,13-16th
The International 2019,350190,Djardel ''DJ'' Mampusti ,13-16th
EPICENTER XL,1883502,Dmitriy ''Nukem'' Shishkov,4th
ESL One Birmingham 2018,1883502,Dmitriy ''Nukem'' Shishkov,1st
China Dota2 Supermajor,1883502,Dmitriy ''Nukem'' Shishkov,2nd
The International 2018,1883502,Dmitriy ''Nukem'' Shishkov,5-6th
